Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",149.860000,-88.900000,180.000000,top
"C2","100n","C_0603_1608Metric",127.000000,-71.120000,-90.000000,top
"C3","100n","C_0603_1608Metric",119.380000,-71.120000,-90.000000,top
"C4","100n","C_0603_1608Metric",96.520000,-88.900000,180.000000,top
"R1","10k","R_0603_1608Metric",127.000000,-78.740000,-90.000000,top
"R11","4.7k","R_0603_1608Metric",149.860000,-83.820000,0.000000,top
"R12","4.7k","R_0603_1608Metric",149.860000,-81.280000,0.000000,top
"R13","4.7k","R_0603_1608Metric",149.860000,-78.740000,0.000000,top
"R14","4.7k","R_0603_1608Metric",149.860000,-76.200000,0.000000,top
"R15","4.7k","R_0603_1608Metric",149.860000,-73.660000,0.000000,top
"R16","4.7k","R_0603_1608Metric",149.860000,-71.120000,0.000000,top
"R17","4.7k","R_0603_1608Metric",149.860000,-68.580000,0.000000,top
"R18","4.7k","R_0603_1608Metric",149.860000,-66.040000,0.000000,top
"R21","4.7k","R_0603_1608Metric",144.780000,-63.500000,90.000000,top
"R22","4.7k","R_0603_1608Metric",142.240000,-63.500000,90.000000,top
"R23","4.7k","R_0603_1608Metric",139.700000,-63.500000,90.000000,top
"R24","4.7k","R_0603_1608Metric",137.160000,-63.500000,90.000000,top
"R25","4.7k","R_0603_1608Metric",134.620000,-63.500000,90.000000,top
"R26","4.7k","R_0603_1608Metric",132.080000,-63.500000,90.000000,top
"R27","4.7k","R_0603_1608Metric",129.540000,-63.500000,90.000000,top
"R28","4.7k","R_0603_1608Metric",127.000000,-63.500000,90.000000,top
"R31","4.7k","R_0603_1608Metric",119.380000,-63.500000,90.000000,top
"R32","4.7k","R_0603_1608Metric",116.840000,-63.500000,90.000000,top
"R33","4.7k","R_0603_1608Metric",114.300000,-63.500000,90.000000,top
"R34","4.7k","R_0603_1608Metric",111.760000,-63.500000,90.000000,top
"R35","4.7k","R_0603_1608Metric",109.220000,-63.500000,90.000000,top
"R36","4.7k","R_0603_1608Metric",106.680000,-63.500000,90.000000,top
"R37","4.7k","R_0603_1608Metric",104.140000,-63.500000,90.000000,top
"R38","4.7k","R_0603_1608Metric",101.600000,-63.500000,90.000000,top
"R41","4.7k","R_0603_1608Metric",96.520000,-66.040000,180.000000,top
"R42","4.7k","R_0603_1608Metric",96.520000,-68.580000,180.000000,top
"R43","4.7k","R_0603_1608Metric",96.520000,-71.120000,180.000000,top
"R44","4.7k","R_0603_1608Metric",96.520000,-73.660000,180.000000,top
"R45","4.7k","R_0603_1608Metric",96.520000,-76.200000,180.000000,top
"R46","4.7k","R_0603_1608Metric",96.520000,-78.740000,180.000000,top
"R47","4.7k","R_0603_1608Metric",96.520000,-81.280000,180.000000,top
"R48","4.7k","R_0603_1608Metric",96.520000,-83.820000,180.000000,top
